Airport,Hour,AVG
SEA,14,7.108433735
SEA,15,6.505847953
SEA,16,5.766666667
SEA,17,8.791390728
SEA,18,9.668393782
SEA,19,11.10491803
SEA,20,7.133333333
SEA,21,5.221556886
SEA,22,3.740740741
SEA,23,18.33333333
SEA,3,13
SEA,5,18.34615385
SEA,6,6.122905028
SEA,7,7.17218543
SEA,8,9.515669516
SEA,9,11.11180124
SFB,0,32
SFB,11,21.18181818
SFB,12,29.40425532
SFB,13,26.07142857
SFB,14,22.81818182
SFB,15,23.58823529
SFB,16,23.82258065
SFB,17,17.54545455
SFB,18,23.18181818
SFB,19,40
SFB,20,23.40540541
SFB,21,22.13793103
SFB,22,22.5
SFB,23,27.33333333
SFB,4,35
SFO,0,14.93902439
SFO,1,13.72222222
SFO,10,21.22299169
SFO,11,23.83454282
SFO,12,29.9519774
SFO,13,29.82575758
SFO,14,20.38023952
SFO,15,17.7140255
SFO,16,20.71910112
SFO,17,20.13892909
SFO,18,18.27692308
SFO,19,21.16762178
SFO,2,14.5
SFO,20,18.575
SFO,21,15.91044776
SFO,22,14.94117647
SFO,23,15.84745763
SFO,3,9
SFO,5,63
SFO,6,38.72727273
SFO,7,9.582781457
SFO,8,13.35653409
SFO,9,18.91876751
SJC,10,17.32446809
SJC,11,23.06355932
SJC,12,23.96891192
SJC,13,19.33333333
SJC,14,16.375
SJC,15,8.306358382
SJC,16,7.396449704
SJC,17,11.2
SJC,18,13.09090909
SJC,19,8.166666667
SJC,2,5
SJC,20,11
SJC,21,1.25
SJC,7,16.15311005
SJC,8,14.36633663
SJC,9,15.49074074
SJU,0,12.23076923
SJU,1,13
SJU,10,2.655737705
SJU,11,5.092307692
SJU,12,8.737556561
SJU,13,11.57272727
SJU,14,6.674641148
SJU,15,6.121495327
SJU,16,7.563636364
SJU,17,10.52261307
SJU,18,13.5398773
SJU,19,6.852941176
SJU,20,7.887850467
SJU,21,4.173333333
SJU,22,6.537234043
SJU,23,7.082352941
SJU,4,5
SJU,5,7
SJU,6,27
SJU,7,5.757575758
SJU,8,4.504716981
SJU,9,4.517045455
SLC,10,10.5
SLC,11,17
SLC,12,19.97222222
SLC,13,18.36015326
SLC,14,12.11111111
SLC,15,13.52
SLC,16,12.5
SLC,17,7.516129032
SLC,18,11.5015015
SLC,19,11.48022599
SLC,20,10.43884892
SLC,21,9.866666667
SLC,22,10
SLC,23,12
SMF,0,29.42708333
SMF,1,31.08333333
SMF,16,12
SMF,17,17.25
SMF,18,22
SMF,19,16
SMF,2,31
SMF,20,31.31707317
SMF,21,30.0591716
SMF,22,34.83928571
SMF,23,26.8
SNA,13,13.7
SNA,14,8.01754386
SNA,15,8.895348837
SNA,16,14.29807692
SNA,17,7.412429379
SNA,18,7.510204082
SNA,19,8.4
SNA,20,6
STL,12,12.33333333
STL,13,11.23529412
STL,14,10.84
STL,15,9.365384615
STL,16,8.886363636
STL,17,8
STL,18,11.66666667
STL,19,12.75
STL,20,14
STL,21,15
TPA,1,2.5
TPA,10,13.61764706
TPA,11,14.86259542
TPA,12,11.66
TPA,13,5.876923077
TPA,14,5.539823009
TPA,15,12.4047619
TPA,16,15.21818182
TPA,17,13.85507246
TPA,18,15.3046875
TPA,19,10.65625
TPA,2,2
TPA,20,5.375
TPA,21,9.777777778
TPA,22,10.77
TPA,23,10.15315315
SLC,0,12.88636364
SJC,0,24.95512821
SNA,0,18.6
PHX,0,18.15178571
DEN,0,16.8
AUS,0,3
STL,0,9
RDU,0,32
PBI,0,14.93902439
TPA,0,12.23076923
PHL,0,32
CLT,0,18.6
