Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,121Plus,Excluded,Total,Flights,Booths
PBI,Main,2/2/2013,1300 - 1400,9,18,17,3,0,0,0,0,0,3,23,2,1
PBI,Main,2/2/2013,1500 - 1600,1,2,5,0,0,0,0,0,0,1,6,1,1
PBI,Main,2/2/2013,1800 - 1900,1,2,6,0,0,0,0,0,0,1,7,1,1
PBI,Main,2/2/2013,1900 - 2000,5,7,12,0,0,0,0,0,0,0,12,1,1
PBI,Main,2/3/2013,1000 - 1100,7,12,12,0,0,0,0,0,0,2,14,2,1
PBI,Main,2/3/2013,1100 - 1200,7,18,24,1,0,0,0,0,0,3,28,2,1
PBI,Main,2/3/2013,1300 - 1400,0,1,5,0,0,0,0,0,0,1,6,1,1
PBI,Main,2/3/2013,1400 - 1500,1,4,6,0,0,0,0,0,0,1,7,1,1
PBI,Main,2/3/2013,1600 - 1700,1,3,5,0,0,0,0,0,0,2,7,1,1
PBI,Main,2/3/2013,1800 - 1900,4,7,9,0,0,0,0,0,0,2,11,1,1
PBI,Main,2/4/2013,0900 - 1000,0,0,17,0,0,0,0,0,0,0,17,2,1
PBI,Main,2/4/2013,1000 - 1100,7,15,13,0,0,0,0,0,0,2,15,2,1
PBI,Main,2/4/2013,1100 - 1200,15,33,15,8,2,0,0,0,0,1,26,1,1
PBI,Main,2/4/2013,1300 - 1400,3,8,16,0,0,0,0,0,0,3,19,2,1
PBI,Main,2/4/2013,1600 - 1700,2,3,5,0,0,0,0,0,0,1,6,1,1
PBI,Main,2/4/2013,1700 - 1800,2,4,5,0,0,0,0,0,0,1,6,1,1
PBI,Main,2/4/2013,1800 - 1900,1,2,4,0,0,0,0,0,0,2,6,1,1
PBI,Main,2/5/2013,0900 - 1000,1,1,6,0,0,0,0,0,0,2,8,1,2
PBI,Main,2/5/2013,1400 - 1500,0,0,9,0,0,0,0,0,0,0,9,1,1
PBI,Main,2/5/2013,1600 - 1700,1,3,18,0,0,0,0,0,0,5,23,3,1
PBI,Main,2/6/2013,0900 - 1000,1,2,5,0,0,0,0,0,0,1,6,1,1
PBI,Main,2/6/2013,1000 - 1100,0,1,9,0,0,0,0,0,0,0,9,1,2
PBI,Main,2/6/2013,1400 - 1500,5,14,16,0,0,0,0,0,0,2,18,2,1
PBI,Main,2/6/2013,1600 - 1700,2,7,26,0,0,0,0,0,0,2,28,2,1
PBI,Main,2/7/2013,0900 - 1000,2,5,12,0,0,0,0,0,0,2,14,1,1
PBI,Main,2/7/2013,1100 - 1200,9,17,22,3,0,0,0,0,0,0,25,1,1
PBI,Main,2/7/2013,1300 - 1400,9,15,18,0,0,0,0,0,0,0,18,1,1
PBI,Main,2/7/2013,1600 - 1700,2,5,20,0,0,0,0,0,0,0,20,1,1
PBI,Main,2/7/2013,1700 - 1800,1,2,5,0,0,0,0,0,0,1,6,1,1
PBI,Main,2/7/2013,2300 - 0000,4,8,6,0,0,0,0,0,0,2,8,1,1
PBI,Main,2/8/2013,0100 - 0200,1,2,5,0,0,0,0,0,0,1,6,1,1
PBI,Main,2/8/2013,0900 - 1000,0,2,16,0,0,0,0,0,0,1,17,1,1
PBI,Main,2/8/2013,1000 - 1100,0,1,4,0,0,0,0,0,0,2,6,1,1
PBI,Main,2/8/2013,1100 - 1200,6,11,14,0,0,0,0,0,0,1,15,1,1
PBI,Main,2/8/2013,1300 - 1400,4,10,16,0,0,0,0,0,0,3,19,2,1
PBI,Main,2/8/2013,1400 - 1500,1,1,4,0,0,0,0,0,0,2,6,1,2
PBI,Main,2/8/2013,1500 - 1600,3,6,12,0,0,0,0,0,0,3,15,2,2
PBI,Main,2/8/2013,1600 - 1700,3,8,26,0,0,0,0,0,0,2,28,2,1
PBI,Main,2/9/2013,1000 - 1100,2,4,7,0,0,0,0,0,0,2,9,1,1
PBI,Main,2/9/2013,1100 - 1200,15,22,12,10,0,0,0,0,0,0,22,1,1
PBI,Main,2/9/2013,1200 - 1300,2,8,16,0,0,0,0,0,0,2,18,2,1
PBI,Main,2/9/2013,1300 - 1400,6,11,18,0,0,0,0,0,0,1,19,1,1
PBI,Main,2/9/2013,1400 - 1500,2,4,8,0,0,0,0,0,0,1,9,1,1
PBI,Main,2/10/2013,1100 - 1200,6,13,27,0,0,0,0,0,0,2,29,2,1
PBI,Main,2/10/2013,1300 - 1400,4,7,7,0,0,0,0,0,0,1,8,1,1
PBI,Main,2/10/2013,1600 - 1700,4,7,15,0,0,0,0,0,0,2,17,1,1
PBI,Main,2/10/2013,1700 - 1800,1,1,4,0,0,0,0,0,0,2,6,1,1
PBI,Main,2/10/2013,1900 - 2000,4,12,9,0,0,0,0,0,0,1,10,1,1
PBI,Main,2/11/2013,0900 - 1000,0,1,12,0,0,0,0,0,0,0,12,1,1
PBI,Main,2/11/2013,1000 - 1100,5,11,13,0,0,0,0,0,0,3,16,2,1
PBI,Main,2/11/2013,1100 - 1200,7,19,22,4,0,0,0,0,0,1,27,1,1
PBI,Main,2/11/2013,1600 - 1700,2,6,21,0,0,0,0,0,0,2,23,2,1
PBI,Main,2/12/2013,0900 - 1000,0,0,11,0,0,0,0,0,0,0,11,1,1
PBI,Main,2/12/2013,1300 - 1400,6,11,15,0,0,0,0,0,0,2,17,1,1
PBI,Main,2/12/2013,1600 - 1700,0,2,18,0,0,0,0,0,0,1,19,2,1
PBI,Main,2/12/2013,1700 - 1800,1,1,4,0,0,0,0,0,0,2,6,1,1
PBI,Main,2/13/2013,0900 - 1000,3,5,10,0,0,0,0,0,0,1,11,1,1
PBI,Main,2/13/2013,1000 - 1100,7,12,8,0,0,0,0,0,0,0,8,1,1
PBI,Main,2/13/2013,1300 - 1400,6,13,37,0,0,0,0,0,0,4,41,3,1
PBI,Main,2/13/2013,1400 - 1500,2,5,11,0,0,0,0,0,0,3,14,2,1
PBI,Main,2/13/2013,1600 - 1700,3,7,14,0,0,0,0,0,0,1,15,1,1
PBI,Main,2/13/2013,1900 - 2000,1,1,4,0,0,0,0,0,0,2,6,1,1
PBI,Main,2/14/2013,0900 - 1000,2,4,21,0,0,0,0,0,0,1,22,1,2
PBI,Main,2/14/2013,1100 - 1200,16,29,16,19,0,0,0,0,0,1,36,1,1
PBI,Main,2/14/2013,1400 - 1500,2,7,10,0,0,0,0,0,0,4,14,2,1
PBI,Main,2/14/2013,1600 - 1700,1,3,4,0,0,0,0,0,0,2,6,1,1
PBI,Main,2/14/2013,1700 - 1800,1,8,21,0,0,0,0,0,0,2,23,2,1
PBI,Main,2/14/2013,2000 - 2100,2,3,7,0,0,0,0,0,0,2,9,1,1
PBI,Main,2/15/2013,0000 - 0100,2,4,4,0,0,0,0,0,0,2,6,1,1
PBI,Main,2/15/2013,0900 - 1000,6,13,23,0,0,0,0,0,0,1,24,1,1
PBI,Main,2/15/2013,1000 - 1100,4,8,7,0,0,0,0,0,0,2,9,1,1
PBI,Main,2/15/2013,1100 - 1200,17,29,11,22,0,0,0,0,0,1,34,1,1
PBI,Main,2/15/2013,1500 - 1600,4,9,17,0,0,0,0,0,0,4,21,2,1
PBI,Main,2/15/2013,1600 - 1700,4,9,21,0,0,0,0,0,0,1,22,1,1
PBI,Main,2/16/2013,0900 - 1000,0,0,18,0,0,0,0,0,0,0,18,1,2
PBI,Main,2/16/2013,1000 - 1100,16,20,3,4,0,0,0,0,0,1,8,1,1
PBI,Main,2/16/2013,1100 - 1200,7,17,34,1,0,0,0,0,0,2,37,1,2
PBI,Main,2/16/2013,1200 - 1300,14,28,19,22,0,0,0,0,0,2,43,3,2
PBI,Main,2/16/2013,1700 - 1800,1,2,8,0,0,0,0,0,0,2,10,1,1
PBI,Main,2/16/2013,1900 - 2000,1,1,8,0,0,0,0,0,0,2,10,1,2
PBI,Main,2/17/2013,1000 - 1100,1,2,6,0,0,0,0,0,0,2,8,1,1
PBI,Main,2/17/2013,1100 - 1200,9,16,19,2,0,0,0,0,0,1,22,1,1
PBI,Main,2/17/2013,1400 - 1500,0,0,9,0,0,0,0,0,0,0,9,1,2
PBI,Main,2/17/2013,1600 - 1700,4,12,24,0,0,0,0,0,0,4,28,2,1
PBI,Main,2/17/2013,1700 - 1800,11,12,5,0,0,0,0,0,0,1,6,1,1
PBI,Main,2/18/2013,0900 - 1000,1,5,31,0,0,0,0,0,0,1,32,2,2
PBI,Main,2/18/2013,1000 - 1100,1,2,6,0,0,0,0,0,0,2,8,1,2
PBI,Main,2/18/2013,1100 - 1200,18,30,10,22,0,0,0,0,0,0,32,1,1
PBI,Main,2/18/2013,1200 - 1300,1,2,13,0,0,0,0,0,0,2,15,1,2
PBI,Main,2/18/2013,1400 - 1500,1,3,13,0,0,0,0,0,0,4,17,2,1
PBI,Main,2/18/2013,1500 - 1600,7,10,12,0,0,0,0,0,0,1,13,1,1
PBI,Main,2/18/2013,1800 - 1900,0,0,9,0,0,0,0,0,0,0,9,1,1
PBI,Main,2/18/2013,1900 - 2000,3,9,16,0,0,0,0,0,0,4,20,2,1
PBI,Main,2/19/2013,0900 - 1000,7,8,8,0,0,0,0,0,0,0,8,1,1
PBI,Main,2/19/2013,1300 - 1400,3,15,8,0,0,0,0,0,0,2,10,1,1
